Group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
Cultivar2	0.0834538	-0.0145197	0.144603	0.00218645	0.00140174	-0.00252199	-0.00439667	0.00670473	-0.00518031	0.00727282	-0.0816745	-0.0049911	-0.00422642	-0.0261779	2.88537e-05	-0.207597	0.196316	0.000956798	0.0334652	-0.069952
Cultivar3	0.0805904	-0.0103225	-0.0277347	-0.00601568	-0.00432531	-0.00210979	-0.00344994	-0.00815562	-0.00800772	-0.0123494	0.14122	-0.000976142	0.00742086	-0.0673679	-0.0063109	-0.142288	0.226	-0.0070418	-0.031394	0.307342
Cultivar2	0.0829104	-0.0140286	0.0550141	-0.000572217	0.00769545	-0.00554078	-0.0086523	0.00743	-0.00633851	0.00566989	-0.143785	-0.00944728	-0.00512066	-0.0405711	0.00394457	-0.175554	0.285818	-0.00409907	0.0345	-0.0757012
Cultivar2	0.0830715	-0.0128993	0.073316	-0.000797786	0.00894623	-0.00889587	-0.00661449	0.00390385	-0.00535473	0.00614896	-0.106615	-0.00706238	-0.00470744	-0.0376117	0.00386613	-0.200759	0.235311	-0.00283859	0.029771	-0.118058
Cultivar2	0.0830272	-0.0133236	0.157292	-0.00039948	0.00463395	0.000106311	-0.000275299	0.00460416	-0.000666367	0.00530827	-0.108686	-0.00766487	-0.00175366	0.00327358	-0.00176814	0.0789464	-0.0609486	-0.00297679	0.000236801	-0.043946
Cultivar3	0.080938	-0.012804	-0.0164666	0.00294574	0.0053087	0.00481359	-0.0049643	0.00359748	0.00561699	0.017126	-0.307659	-0.0222111	-0.00118919	0.00257149	0.00449771	0.152686	-0.0799744	0.0031237	-0.0226755	0.119063
Cultivar3	0.0795339	-0.0112965	-0.12637	0.0034559	0.00742962	0.00408346	-0.00828989	0.0048206	0.00966646	0.0269482	-0.466772	-0.0276071	-0.00378265	-0.00764057	0.00310784	0.156775	-0.0209442	0.000926425	-0.0113312	0.133564
Cultivar2	0.0821221	-0.0133921	0.0889825	0.00149643	0.00462649	0.0011013	-0.00190641	0.00336554	0.000444899	0.00545701	-0.171272	-0.0112705	4.33299e-05	-0.0114315	-0.00123913	0.0763698	-0.0444956	-0.00672546	-0.0153949	0.0356828
Cultivar1	0.083061	-0.0136391	0.140683	-0.00101491	-0.00240654	0.000437945	-0.00123884	-0.00385294	0.00174287	-0.0004152	0.0294481	0.00155013	-0.00281837	0.00524159	-0.00341454	0.0633327	-0.109164	-0.000798601	-0.000535071	0.0227676
Cultivar3	0.0789278	-0.011332	-0.107855	-0.00249762	-0.00543913	0.0110085	0.0068022	-0.0197491	-0.00991223	-0.0117262	0.230255	0.0232534	0.0128252	0.0519038	0.00495426	0.342832	0.0211572	0.0212689	-0.0395237	0.27978
Cultivar3	0.0803882	-0.0115909	-0.041361	0.00238377	0.006814	0.0028682	-0.00480899	0.00520803	0.00536721	0.0201618	-0.372819	-0.0244709	0.00153824	-0.0106274	0.00799226	0.169394	-0.0807592	0.00526271	-0.0198238	0.122789
Cultivar2	0.0834662	-0.0138166	0.10954	0.000808119	0.00400336	-0.00318411	-0.00431331	0.00629344	-0.00469802	0.00642668	-0.102099	-0.00869732	-0.00523762	-0.0170776	-4.03168e-06	-0.0871483	0.14525	0.00163174	0.0227565	-0.061259
Cultivar3	0.0821898	-0.0128636	0.0632464	0.00061273	0.00563854	0.0023423	-0.0025277	0.00564799	0.000958489	0.00921169	-0.189896	-0.0140088	-0.000320021	0.0064739	-0.000157089	0.158566	-0.0863739	-0.00172807	-0.0220879	0.0660589
Cultivar2	0.0825123	-0.0130756	0.112518	-0.00157159	0.00191187	0.00184647	-0.00238237	0.00697948	0.000165283	0.00443092	-0.104022	-0.00691571	-0.00171162	0.00565766	0.00279434	0.0296917	-0.0257056	0.00128425	0.00757397	-0.0340984
Cultivar1	0.0824034	-0.0141735	0.158303	-0.00118744	-0.00323182	0.00266105	0.00211881	0.00217501	-0.00421492	-0.0063512	0.102633	0.0100248	-0.00112729	0.0227106	-0.0013006	0.0250223	-0.130979	0.00285226	-0.00656369	0.00936315
Cultivar2	0.0842896	-0.0135968	0.117307	0.000806255	0.00832677	-0.00777432	-0.00745188	0.00790293	-0.00633315	0.00451175	-0.102945	-0.00990748	-0.00698186	-0.0365548	-0.000126165	-0.20786	0.238086	-0.00826651	0.0337023	-0.14341
